,experiment_index,input_dim,embedding_size,btsp_fq,btsp_mAP,fly_mAP,wta_mAP,lsh_mAP
0,0,784,784,0.00510204081632653,0.24869266889693933,0.24258711473939443,0.07714659066304314,0.12323638438242422
1,1,784,784,0.00510204081632653,0.25410977419784375,0.27087460986340467,0.0760739388930603,0.11007755278712175
2,2,784,784,0.00510204081632653,0.26490474322535157,0.2746965364708634,0.08573228877201967,0.1203808140726545
3,3,784,784,0.00510204081632653,0.25466591201195926,0.2865803541620568,0.09576074688017246,0.12433279678630597
4,4,784,784,0.00510204081632653,0.2502659434926966,0.2432032051613981,0.07993798200741155,0.1278018141722441
5,5,784,784,0.00510204081632653,0.270815631179348,0.24984201800766603,0.09559253919417768,0.11049303363022708
6,6,784,784,0.00510204081632653,0.2608926098946596,0.30937666766901295,0.08546067624158642,0.12272617784411688
7,7,784,784,0.00510204081632653,0.2625174756569419,0.3317950366164828,0.07385715875962669,0.11595036614654262
8,8,784,784,0.00510204081632653,0.2486861166270686,0.3254115282379521,0.0921023969596065,0.11867242340907265
9,9,784,784,0.00510204081632653,0.23592936140548101,0.31695165893450444,0.11280909429120695,0.1251022010119351
10,10,784,784,0.00510204081632653,0.22755939788952267,0.3002498721464513,0.09670334275029285,0.113964946076616
11,11,784,784,0.00510204081632653,0.2323555871821021,0.3236364379828052,0.08046635493707091,0.11660814836991025
12,12,784,3136,0.0012755102040816326,0.2673183354447611,0.2788376026494981,0.07570530036126417,0.10870498807808411
13,13,784,3136,0.0012755102040816326,0.268763373223606,0.29741120238716906,0.07254448507872213,0.11391033776475712
14,14,784,3136,0.0012755102040816326,0.2635515554020594,0.298429506557961,0.06544768845203906,0.12797822342898557
15,15,784,3136,0.0012755102040816326,0.2946926441761662,0.3107722839570014,0.10961784115702602,0.12550896386249416
16,16,784,3136,0.0012755102040816326,0.30031487357178493,0.27257104206460325,0.0830579631961229,0.11362968965764565
17,17,784,3136,0.0012755102040816326,0.313193632365084,0.28554968245752815,0.09285583078124796,0.1297324736005308
18,18,784,3136,0.0012755102040816326,0.25253964278944635,0.3296959315491465,0.07602611547883609,0.12472839950318344
19,19,784,3136,0.0012755102040816326,0.2530950177707736,0.33064373779276773,0.07592456918463941,0.12159507222265804
20,20,784,3136,0.0012755102040816326,0.27975459508795997,0.3379214282022785,0.07485422039203345,0.11311986864079754
21,21,784,3136,0.0012755102040816326,0.2494777987830844,0.33111840918466506,0.0575883142253199,0.11771328590264836
22,22,784,3136,0.0012755102040816326,0.2797290450177799,0.33794553241553715,0.08256698592984558,0.12103368110303685
23,23,784,3136,0.0012755102040816326,0.30719177342362036,0.35789945035507015,0.07661370033436964,0.12634821546217254
24,24,784,6272,0.0006377551020408163,0.2820416918788065,0.2916910270612268,0.0889794959974039,0.11603279030004364
25,25,784,6272,0.0006377551020408163,0.29270879796002475,0.282847173820507,0.08680866036543129,0.11969567931169318
26,26,784,6272,0.0006377551020408163,0.2892100424328647,0.30364487999424106,0.06495920153833852,0.13964232172954041
27,27,784,6272,0.0006377551020408163,0.2904498470781482,0.3158810930699371,0.12026196397518656,0.12178146983059059
28,28,784,6272,0.0006377551020408163,0.358691471267198,0.30934807466932385,0.06957912755700527,0.12017571466114073
29,29,784,6272,0.0006377551020408163,0.3649640120785444,0.31530714508304286,0.09619616436958295,0.103114693782801
30,30,784,6272,0.0006377551020408163,0.27496952218144055,0.32627763382134367,0.07052023637250869,0.132125579540253
31,31,784,6272,0.0006377551020408163,0.2641438939885222,0.36103982937956414,0.10175840753818449,0.12354084231023071
32,32,784,6272,0.0006377551020408163,0.2654591024688437,0.36245852771957593,0.09322998519306352,0.10379803729233442
33,33,784,6272,0.0006377551020408163,0.3126020660615997,0.36009592528004375,0.07287962535725079,0.11629615911998238
34,34,784,6272,0.0006377551020408163,0.32464645413798676,0.37563255405869106,0.07968341347507743,0.1062128361637459
35,35,784,6272,0.0006377551020408163,0.3616327391646545,0.3555889406134619,0.09548925492346826,0.10682519588126135
36,36,784,9408,0.00042517006802721087,0.27328258802550254,0.3168453508784379,0.09439369681431566,0.12069372144907857
37,37,784,9408,0.00042517006802721087,0.28450310641417514,0.3279079964298526,0.06746285258638676,0.11804688493024279
38,38,784,9408,0.00042517006802721087,0.2958428853039178,0.3170940897279208,0.0748496590913244,0.11880438583682519
39,39,784,9408,0.00042517006802721087,0.31000646550227395,0.3016292555938269,0.1064234028779799,0.11528566482848635
40,40,784,9408,0.00042517006802721087,0.31339242752835744,0.312065314087932,0.07876901641268842,0.11671759772651075
41,41,784,9408,0.00042517006802721087,0.3401636620021131,0.32912105182977924,0.08238420947162743,0.11256987025001962
42,42,784,9408,0.00042517006802721087,0.2529451272530359,0.34947222947237516,0.11101229607768551,0.11610788675298025
43,43,784,9408,0.00042517006802721087,0.25716642178439725,0.3437097832746099,0.08913350295883844,0.1166167929813993
44,44,784,9408,0.00042517006802721087,0.29229901178280376,0.3485605637456505,0.09442544122782419,0.12096745707760768
45,45,784,9408,0.00042517006802721087,0.2968789762290776,0.3594385471555819,0.09924233743896592,0.10766267114646413
46,46,784,9408,0.00042517006802721087,0.3368928707261515,0.36980656301134557,0.10454951287594401,0.1262720661202039
47,47,784,9408,0.00042517006802721087,0.35742825819075497,0.37385093177512063,0.0724026926074668,0.11325367365268484
48,48,784,15680,0.00025510204081632655,0.25357253826017195,0.3047596975183285,0.08266970433706053,0.1328367734729078
49,49,784,15680,0.00025510204081632655,0.2699499045972383,0.30803375997463806,0.08114651621797773,0.11187080086448685
50,50,784,15680,0.00025510204081632655,0.3082747940350821,0.32687961397647014,0.10217832164974083,0.12944738368724493
51,51,784,15680,0.00025510204081632655,0.3379739539243899,0.35217408164691894,0.0848838730032204,0.1319173808961773
52,52,784,15680,0.00025510204081632655,0.34398721127352144,0.3047684353300071,0.10035274952547676,0.11227653022969877
