,experiment_index,input_dim,embedding_size,optimal_btsp_fq_constant,optimal_btsp_sampling_ratio,optimal_btsp_fq,btsp_mAP,fly_mAP,wta_mAP,lsh_mAP
0,1,128,2048,2,0.2,0.0234375,0.6426415932183918,0.66339037041962,0.05185448859030361,0.4760596846910629
1,0,784,12544,2,0.2,0.003826530612244898,0.7046782372359703,0.7111294926617682,0.058012583863878774,0.41746866388131726
2,2,960,15360,2,0.2,0.003125,0.23046905227649614,0.21964697549506662,0.0625303618843969,0.24168189993883266
3,3,300,4800,2,0.2,0.01,0.16069372214429523,0.19758923972545073,0.057365904554143324,0.18282206839728538
